carriers,locs,techs,timesteps,carrier_prod
power,AA,CCGT_pp,2019-01-01 00:00:00,553529.413382
power,AA,CCGT_pp,2019-01-01 01:00:00,555619.567482
power,AA,CCGT_pp,2019-01-01 02:00:00,559142.970241
power,AA,CCGT_pp,2019-01-01 03:00:00,517877.355386
power,AA,CCGT_pp,2019-01-01 04:00:00,518932.385561
power,AA,CCGT_pp,2019-01-01 05:00:00,359184.888832
power,AA,CCGT_pp,2019-01-01 06:00:00,271976.00197
power,AA,CCGT_pp,2019-01-01 07:00:00,285128.564509
power,AA,CCGT_pp,2019-01-01 08:00:00,284871.811569
power,AA,CCGT_pp,2019-01-01 09:00:00,312783.503755
power,AA,CCGT_pp,2019-01-01 10:00:00,317180.057793
power,AA,CCGT_pp,2019-01-01 11:00:00,384488.96364
power,AA,CCGT_pp,2019-01-01 12:00:00,407419.478288
power,AA,CCGT_pp,2019-01-01 13:00:00,425109.426369
power,AA,CCGT_pp,2019-01-01 14:00:00,436746.249907
power,AA,CCGT_pp,2019-01-01 15:00:00,461769.668907
power,AA,CCGT_pp,2019-01-01 16:00:00,472854.165372
power,AA,CCGT_pp,2019-01-01 17:00:00,331286.92965
power,AA,CCGT_pp,2019-01-01 18:00:00,788950.444087
power,AA,CCGT_pp,2019-01-01 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-01 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-01 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-01 22:00:00,803332.695077
power,AA,CCGT_pp,2019-01-01 23:00:00,756971.085016
power,AA,CCGT_pp,2019-01-02 00:00:00,624923.107618
power,AA,CCGT_pp,2019-01-02 01:00:00,567473.727569
power,AA,CCGT_pp,2019-01-02 02:00:00,499503.90494
power,AA,CCGT_pp,2019-01-02 03:00:00,458447.305322
power,AA,CCGT_pp,2019-01-02 04:00:00,446802.160672
power,AA,CCGT_pp,2019-01-02 05:00:00,429344.396892
power,AA,CCGT_pp,2019-01-02 06:00:00,344080.807176
power,AA,CCGT_pp,2019-01-02 07:00:00,387252.491962
power,AA,CCGT_pp,2019-01-02 08:00:00,434621.054898
power,AA,CCGT_pp,2019-01-02 09:00:00,534270.242214
power,AA,CCGT_pp,2019-01-02 10:00:00,593900.771551
power,AA,CCGT_pp,2019-01-02 11:00:00,570597.232708
power,AA,CCGT_pp,2019-01-02 12:00:00,588022.064966
power,AA,CCGT_pp,2019-01-02 13:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 14:00:00,526564.663451
power,AA,CCGT_pp,2019-01-02 15:00:00,594534.970751
power,AA,CCGT_pp,2019-01-02 16:00:00,534509.035499
power,AA,CCGT_pp,2019-01-02 17:00:00,593456.707
power,AA,CCGT_pp,2019-01-02 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-02 23:00:00,775314.676247
power,AA,CCGT_pp,2019-01-03 00:00:00,720084.840147
power,AA,CCGT_pp,2019-01-03 01:00:00,631492.163432
power,AA,CCGT_pp,2019-01-03 02:00:00,545328.046678
power,AA,CCGT_pp,2019-01-03 03:00:00,542730.283579
power,AA,CCGT_pp,2019-01-03 04:00:00,519698.77534
power,AA,CCGT_pp,2019-01-03 05:00:00,493303.114214
power,AA,CCGT_pp,2019-01-03 06:00:00,393866.288783
power,AA,CCGT_pp,2019-01-03 07:00:00,570901.924773
power,AA,CCGT_pp,2019-01-03 08:00:00,606342.497262
power,AA,CCGT_pp,2019-01-03 09:00:00,562855.742211
power,AA,CCGT_pp,2019-01-03 10:00:00,677867.244041
power,AA,CCGT_pp,2019-01-03 11:00:00,759893.391701
power,AA,CCGT_pp,2019-01-03 12:00:00,771791.919412
power,AA,CCGT_pp,2019-01-03 13:00:00,780791.525172
power,AA,CCGT_pp,2019-01-03 14:00:00,811130.789511
power,AA,CCGT_pp,2019-01-03 15:00:00,833409.301045
power,AA,CCGT_pp,2019-01-03 16:00:00,852205.841669
power,AA,CCGT_pp,2019-01-03 17:00:00,849586.553169
power,AA,CCGT_pp,2019-01-03 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-03 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-03 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-03 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-03 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-03 23:00:00,853824.847376
power,AA,CCGT_pp,2019-01-04 00:00:00,747863.984543
power,AA,CCGT_pp,2019-01-04 01:00:00,646173.008382
power,AA,CCGT_pp,2019-01-04 02:00:00,623559.530796
power,AA,CCGT_pp,2019-01-04 03:00:00,620026.175071
power,AA,CCGT_pp,2019-01-04 04:00:00,609933.716419
power,AA,CCGT_pp,2019-01-04 05:00:00,597462.463249
power,AA,CCGT_pp,2019-01-04 06:00:00,461054.346584
power,AA,CCGT_pp,2019-01-04 07:00:00,526142.101065
power,AA,CCGT_pp,2019-01-04 08:00:00,542402.477636
power,AA,CCGT_pp,2019-01-04 09:00:00,562931.431959
power,AA,CCGT_pp,2019-01-04 10:00:00,642061.758003
power,AA,CCGT_pp,2019-01-04 11:00:00,644396.743463
power,AA,CCGT_pp,2019-01-04 12:00:00,594490.532858
power,AA,CCGT_pp,2019-01-04 13:00:00,653138.061926
power,AA,CCGT_pp,2019-01-04 14:00:00,710647.328479
power,AA,CCGT_pp,2019-01-04 15:00:00,718352.307665
power,AA,CCGT_pp,2019-01-04 16:00:00,718386.697939
power,AA,CCGT_pp,2019-01-04 17:00:00,769122.483215
power,AA,CCGT_pp,2019-01-04 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-04 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-04 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-04 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-04 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-04 23:00:00,854770.394053
power,AA,CCGT_pp,2019-01-05 00:00:00,793459.204907
power,AA,CCGT_pp,2019-01-05 01:00:00,722911.525032
power,AA,CCGT_pp,2019-01-05 02:00:00,627222.277144
power,AA,CCGT_pp,2019-01-05 03:00:00,608231.733834
power,AA,CCGT_pp,2019-01-05 04:00:00,562517.076194
power,AA,CCGT_pp,2019-01-05 05:00:00,591321.391143
power,AA,CCGT_pp,2019-01-05 06:00:00,384979.781536
power,AA,CCGT_pp,2019-01-05 07:00:00,336521.70366
power,AA,CCGT_pp,2019-01-05 08:00:00,351705.508761
power,AA,CCGT_pp,2019-01-05 09:00:00,363174.985997
power,AA,CCGT_pp,2019-01-05 10:00:00,388108.364322
power,AA,CCGT_pp,2019-01-05 11:00:00,386615.432655
power,AA,CCGT_pp,2019-01-05 12:00:00,405508.230448
power,AA,CCGT_pp,2019-01-05 13:00:00,428801.198247
power,AA,CCGT_pp,2019-01-05 14:00:00,474862.127202
power,AA,CCGT_pp,2019-01-05 15:00:00,428329.544804
power,AA,CCGT_pp,2019-01-05 16:00:00,471346.277872
power,AA,CCGT_pp,2019-01-05 17:00:00,556355.648514
power,AA,CCGT_pp,2019-01-05 18:00:00,857129.281532
power,AA,CCGT_pp,2019-01-05 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-05 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-05 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-05 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-05 23:00:00,737532.65174
power,AA,CCGT_pp,2019-01-06 00:00:00,679525.89664
power,AA,CCGT_pp,2019-01-06 01:00:00,597193.729183
power,AA,CCGT_pp,2019-01-06 02:00:00,541615.534675
power,AA,CCGT_pp,2019-01-06 03:00:00,517419.511954
power,AA,CCGT_pp,2019-01-06 04:00:00,505107.508635
power,AA,CCGT_pp,2019-01-06 05:00:00,498588.218375
power,AA,CCGT_pp,2019-01-06 06:00:00,393074.556034
power,AA,CCGT_pp,2019-01-06 07:00:00,369668.341367
power,AA,CCGT_pp,2019-01-06 08:00:00,264579.019646
power,AA,CCGT_pp,2019-01-06 09:00:00,265158.632037
power,AA,CCGT_pp,2019-01-06 10:00:00,259768.373741
power,AA,CCGT_pp,2019-01-06 11:00:00,301455.457001
power,AA,CCGT_pp,2019-01-06 12:00:00,396918.312446
power,AA,CCGT_pp,2019-01-06 13:00:00,389550.798813
power,AA,CCGT_pp,2019-01-06 14:00:00,481212.697164
power,AA,CCGT_pp,2019-01-06 15:00:00,513282.167738
power,AA,CCGT_pp,2019-01-06 16:00:00,545233.826697
power,AA,CCGT_pp,2019-01-06 17:00:00,570796.458269
power,AA,CCGT_pp,2019-01-06 18:00:00,797987.872264
power,AA,CCGT_pp,2019-01-06 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-06 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-06 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-06 22:00:00,784023.651738
power,AA,CCGT_pp,2019-01-06 23:00:00,693251.242536
power,AA,CCGT_pp,2019-01-07 00:00:00,493342.926803
power,AA,CCGT_pp,2019-01-07 01:00:00,586951.973744
power,AA,CCGT_pp,2019-01-07 02:00:00,522246.772684
power,AA,CCGT_pp,2019-01-07 03:00:00,491023.850927
power,AA,CCGT_pp,2019-01-07 04:00:00,482892.156038
power,AA,CCGT_pp,2019-01-07 05:00:00,521430.61735
power,AA,CCGT_pp,2019-01-07 06:00:00,397784.909366
power,AA,CCGT_pp,2019-01-07 07:00:00,327911.950648
power,AA,CCGT_pp,2019-01-07 08:00:00,367141.188816
power,AA,CCGT_pp,2019-01-07 09:00:00,342889.537457
power,AA,CCGT_pp,2019-01-07 10:00:00,391138.419434
