carriers,locs,techs,timesteps,capacity_factor
power,AA,CCGT_pp,2019-01-02 12:00:00,0.6837465871697674
power,AA,CCGT_pp,2019-01-02 13:00:00,1.0
power,AA,CCGT_pp,2019-01-02 14:00:00,0.6122844923848837
power,AA,CCGT_pp,2019-01-02 15:00:00,0.6913197334313953
power,AA,CCGT_pp,2019-01-02 16:00:00,0.6215221343011628
power,AA,CCGT_pp,2019-01-02 17:00:00,0.6900659383720931
power,AA,CCGT_pp,2019-01-02 18:00:00,1.0
power,AA,CCGT_pp,2019-01-02 19:00:00,1.0
power,AA,CCGT_pp,2019-01-02 20:00:00,1.0
power,AA,CCGT_pp,2019-01-02 21:00:00,1.0
power,AA,CCGT_pp,2019-01-02 22:00:00,1.0
power,AA,CCGT_pp,2019-01-02 23:00:00,0.9015286933104651
power,AA,CCGT_pp,2019-01-03 00:00:00,0.8373079536593023
power,AA,CCGT_pp,2019-01-03 01:00:00,0.7342932132930232
power,AA,CCGT_pp,2019-01-03 02:00:00,0.6341023798581396
power,AA,CCGT_pp,2019-01-03 03:00:00,0.6310817250918606
power,AA,CCGT_pp,2019-01-03 04:00:00,0.6043009015581395
power,AA,CCGT_pp,2019-01-03 05:00:00,0.5736082723418605
power,AA,CCGT_pp,2019-01-03 06:00:00,0.4579840567244186
power,AA,CCGT_pp,2019-01-03 07:00:00,0.6638394474104651
power,AA,CCGT_pp,2019-01-03 08:00:00,0.7050494154209302
power,AA,CCGT_pp,2019-01-03 09:00:00,0.6544834211755813
power,AA,CCGT_pp,2019-01-03 10:00:00,0.7882177256290698
power,AA,CCGT_pp,2019-01-03 11:00:00,0.8835969670941861
power,AA,CCGT_pp,2019-01-03 12:00:00,0.8974324644325581
power,AA,CCGT_pp,2019-01-03 13:00:00,0.9078971222930233
power,AA,CCGT_pp,2019-01-03 14:00:00,0.9431753366406977
power,AA,CCGT_pp,2019-01-03 15:00:00,0.969080582610465
power,AA,CCGT_pp,2019-01-03 16:00:00,0.9909370251965116
power,AA,CCGT_pp,2019-01-03 17:00:00,0.987891340894186
power,AA,CCGT_pp,2019-01-03 18:00:00,1.0
power,AA,CCGT_pp,2019-01-03 19:00:00,1.0
power,AA,CCGT_pp,2019-01-03 20:00:00,1.0
power,AA,CCGT_pp,2019-01-03 21:00:00,1.0
power,AA,CCGT_pp,2019-01-03 22:00:00,1.0
power,AA,CCGT_pp,2019-01-03 23:00:00,0.9928195899720931
power,AA,CCGT_pp,2019-01-04 00:00:00,0.8696092843523255
power,AA,CCGT_pp,2019-01-04 01:00:00,0.7513639632348837
power,AA,CCGT_pp,2019-01-04 02:00:00,0.725069221855814
power,AA,CCGT_pp,2019-01-04 03:00:00,0.7209606686872093
power,AA,CCGT_pp,2019-01-04 04:00:00,0.7092252516499999
power,AA,CCGT_pp,2019-01-04 05:00:00,0.6947237944755814
power,AA,CCGT_pp,2019-01-04 06:00:00,0.5361097053302325
power,AA,CCGT_pp,2019-01-04 07:00:00,0.6117931407732559
power,AA,CCGT_pp,2019-01-04 08:00:00,0.6307005553906977
power,AA,CCGT_pp,2019-01-04 09:00:00,0.654571432510465
power,AA,CCGT_pp,2019-01-04 10:00:00,0.7465834395383721
power,AA,CCGT_pp,2019-01-04 11:00:00,0.7492985389104652
power,AA,CCGT_pp,2019-01-04 12:00:00,0.6912680614627907
power,AA,CCGT_pp,2019-01-04 13:00:00,0.7594628627046512
power,AA,CCGT_pp,2019-01-04 14:00:00,0.8263341028825582
power,AA,CCGT_pp,2019-01-04 15:00:00,0.835293381005814
power,AA,CCGT_pp,2019-01-04 16:00:00,0.8353333696965116
power,AA,CCGT_pp,2019-01-04 17:00:00,0.8943284688546512
power,AA,CCGT_pp,2019-01-04 18:00:00,1.0
power,AA,CCGT_pp,2019-01-04 19:00:00,1.0
power,AA,CCGT_pp,2019-01-04 20:00:00,1.0
power,AA,CCGT_pp,2019-01-04 21:00:00,1.0
power,AA,CCGT_pp,2019-01-04 22:00:00,1.0
power,AA,CCGT_pp,2019-01-04 23:00:00,0.9939190628523256
power,AA,CCGT_pp,2019-01-05 00:00:00,0.92262698245
power,AA,CCGT_pp,2019-01-05 01:00:00,0.8405947965488373
power,AA,CCGT_pp,2019-01-05 02:00:00,0.7293282292372094
power,AA,CCGT_pp,2019-01-05 03:00:00,0.7072462021325581
power,AA,CCGT_pp,2019-01-05 04:00:00,0.6540896234813953
power,AA,CCGT_pp,2019-01-05 05:00:00,0.6875830129569768
power,AA,CCGT_pp,2019-01-05 06:00:00,0.44765090876279073
power,AA,CCGT_pp,2019-01-05 07:00:00,0.39130430658139537
power,AA,CCGT_pp,2019-01-05 08:00:00,0.4089598939081395
power,AA,CCGT_pp,2019-01-05 09:00:00,0.42229649534534885
power,AA,CCGT_pp,2019-01-05 10:00:00,0.4512887957232558
power,AA,CCGT_pp,2019-01-05 11:00:00,0.4495528286686047
power,AA,CCGT_pp,2019-01-05 12:00:00,0.4715211981953489
power,AA,CCGT_pp,2019-01-05 13:00:00,0.4986060444732558
power,AA,CCGT_pp,2019-01-05 14:00:00,0.5521652641883721
power,AA,CCGT_pp,2019-01-05 15:00:00,0.4980576102372093
power,AA,CCGT_pp,2019-01-05 16:00:00,0.5480770672930233
power,AA,CCGT_pp,2019-01-05 17:00:00,0.6469251726906977
power,AA,CCGT_pp,2019-01-05 18:00:00,0.9966619552697675
power,AA,CCGT_pp,2019-01-05 19:00:00,1.0
power,AA,CCGT_pp,2019-01-05 20:00:00,1.0
power,AA,CCGT_pp,2019-01-05 21:00:00,1.0
power,AA,CCGT_pp,2019-01-05 22:00:00,1.0
power,AA,CCGT_pp,2019-01-05 23:00:00,0.8575961066744187
power,AA,CCGT_pp,2019-01-06 00:00:00,0.7901463914418605
power,AA,CCGT_pp,2019-01-06 01:00:00,0.6944113130034885
power,AA,CCGT_pp,2019-01-06 02:00:00,0.6297855054360465
power,AA,CCGT_pp,2019-01-06 03:00:00,0.6016505952953488
power,AA,CCGT_pp,2019-01-06 04:00:00,0.5873343123662791
power,AA,CCGT_pp,2019-01-06 05:00:00,0.5797537422965117
power,AA,CCGT_pp,2019-01-06 06:00:00,0.45706343724883725
power,AA,CCGT_pp,2019-01-06 07:00:00,0.4298469085662791
power,AA,CCGT_pp,2019-01-06 08:00:00,0.307650022844186
power,AA,CCGT_pp,2019-01-06 09:00:00,0.30832399074069766
power,AA,CCGT_pp,2019-01-06 10:00:00,0.3020562485360465
power,AA,CCGT_pp,2019-01-06 11:00:00,0.3505296011639535
power,AA,CCGT_pp,2019-01-06 12:00:00,0.46153292144883723
power,AA,CCGT_pp,2019-01-06 13:00:00,0.4529660451313953
power,AA,CCGT_pp,2019-01-06 14:00:00,0.5595496478651163
power,AA,CCGT_pp,2019-01-06 15:00:00,0.596839729927907
power,AA,CCGT_pp,2019-01-06 16:00:00,0.6339928217406976
power,AA,CCGT_pp,2019-01-06 17:00:00,0.6637168119406978
power,AA,CCGT_pp,2019-01-06 18:00:00,0.9278928747255814
power,AA,CCGT_pp,2019-01-06 19:00:00,1.0
power,AA,CCGT_pp,2019-01-06 20:00:00,1.0
power,AA,CCGT_pp,2019-01-06 21:00:00,1.0
power,AA,CCGT_pp,2019-01-06 22:00:00,0.9116554089976744
power,AA,CCGT_pp,2019-01-06 23:00:00,0.806106095972093
power,AA,CCGT_pp,2019-01-07 00:00:00,0.57365456605
power,AA,CCGT_pp,2019-01-07 01:00:00,0.6825022950511628
power,AA,CCGT_pp,2019-01-07 02:00:00,0.6072636891674419
power,AA,CCGT_pp,2019-01-07 03:00:00,0.570957966194186
