carriers,techs,systemwide_capacity_factor
power,CCGT_pp,0.8697432741873207
power,GT_pp,8.819490103319562e-05
power,ICE_pp,0.07282412160640123
power,Hydro_old,0.6813863526837821
power,Hydro_new,0.3310121707001522
power,PV,0.14815952189094816
