costs,locs,techs,timesteps,cost_var
monetary,AA,CCGT_pp,2019-01-04 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-04 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-04 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-04 23:00:00,56884.9697243
monetary,AA,CCGT_pp,2019-01-05 00:00:00,52804.7100865
monetary,AA,CCGT_pp,2019-01-05 01:00:00,48109.7619909
monetary,AA,CCGT_pp,2019-01-05 02:00:00,41741.642544
monetary,AA,CCGT_pp,2019-01-05 03:00:00,40477.8218867
monetary,AA,CCGT_pp,2019-01-05 04:00:00,37435.5114207
monetary,AA,CCGT_pp,2019-01-05 05:00:00,39352.4385806
monetary,AA,CCGT_pp,2019-01-05 06:00:00,25620.4044612
monetary,AA,CCGT_pp,2019-01-05 07:00:00,22395.5193786
monetary,AA,CCGT_pp,2019-01-05 08:00:00,23406.001608
monetary,AA,CCGT_pp,2019-01-05 09:00:00,24169.2953181
monetary,AA,CCGT_pp,2019-01-05 10:00:00,25828.6116456
monetary,AA,CCGT_pp,2019-01-05 11:00:00,25729.2570432
monetary,AA,CCGT_pp,2019-01-05 12:00:00,26986.5727363
monetary,AA,CCGT_pp,2019-01-05 13:00:00,28536.7197433
monetary,AA,CCGT_pp,2019-01-05 14:00:00,31602.0745653
monetary,AA,CCGT_pp,2019-01-05 15:00:00,28505.3312067
monetary,AA,CCGT_pp,2019-01-05 16:00:00,31368.0947924
monetary,AA,CCGT_pp,2019-01-05 17:00:00,37025.4684086
monetary,AA,CCGT_pp,2019-01-05 18:00:00,57041.953686
monetary,AA,CCGT_pp,2019-01-05 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-05 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-05 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-05 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-05 23:00:00,49082.7979733
monetary,AA,CCGT_pp,2019-01-06 00:00:00,45222.4484214
monetary,AA,CCGT_pp,2019-01-06 01:00:00,39743.2426771
monetary,AA,CCGT_pp,2019-01-06 02:00:00,36044.5138326
monetary,AA,CCGT_pp,2019-01-06 03:00:00,34434.2685205
monetary,AA,CCGT_pp,2019-01-06 04:00:00,33614.9046996
monetary,AA,CCGT_pp,2019-01-06 05:00:00,33181.0459328
monetary,AA,CCGT_pp,2019-01-06 06:00:00,26159.111704
monetary,AA,CCGT_pp,2019-01-06 07:00:00,24601.428118
monetary,AA,CCGT_pp,2019-01-06 08:00:00,17607.7337574
monetary,AA,CCGT_pp,2019-01-06 09:00:00,17646.3069621
monetary,AA,CCGT_pp,2019-01-06 10:00:00,17287.5852724
monetary,AA,CCGT_pp,2019-01-06 11:00:00,20061.8606634
monetary,AA,CCGT_pp,2019-01-06 12:00:00,26414.9136933
monetary,AA,CCGT_pp,2019-01-06 13:00:00,25924.605661
monetary,AA,CCGT_pp,2019-01-06 14:00:00,32024.7049962
monetary,AA,CCGT_pp,2019-01-06 15:00:00,34158.928263
monetary,AA,CCGT_pp,2019-01-06 16:00:00,36285.3111667
monetary,AA,CCGT_pp,2019-01-06 17:00:00,37986.5042978
monetary,AA,CCGT_pp,2019-01-06 18:00:00,53106.0928992
monetary,AA,CCGT_pp,2019-01-06 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-06 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-06 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-06 22:00:00,52176.7740232
monetary,AA,CCGT_pp,2019-01-06 23:00:00,46135.8701908
monetary,AA,CCGT_pp,2019-01-07 00:00:00,32831.9717787
monetary,AA,CCGT_pp,2019-01-07 01:00:00,39061.6538527
monetary,AA,CCGT_pp,2019-01-07 02:00:00,34755.5227222
monetary,AA,CCGT_pp,2019-01-07 03:00:00,32677.6372792
monetary,AA,CCGT_pp,2019-01-07 04:00:00,32136.4729843
monetary,AA,CCGT_pp,2019-01-07 05:00:00,34701.2075847
monetary,AA,CCGT_pp,2019-01-07 06:00:00,26472.5857183
monetary,AA,CCGT_pp,2019-01-07 07:00:00,21822.5403156
monetary,AA,CCGT_pp,2019-01-07 08:00:00,24433.2461157
monetary,AA,CCGT_pp,2019-01-07 09:00:00,22819.2987178
monetary,AA,CCGT_pp,2019-01-07 10:00:00,26030.2618134
monetary,AA,CCGT_pp,2019-01-07 11:00:00,29405.0260557
monetary,AA,CCGT_pp,2019-01-07 12:00:00,25474.9881424
monetary,AA,CCGT_pp,2019-01-07 13:00:00,29559.8628326
monetary,AA,CCGT_pp,2019-01-07 14:00:00,28714.3273819
monetary,AA,CCGT_pp,2019-01-07 15:00:00,27628.7423224
monetary,AA,CCGT_pp,2019-01-07 16:00:00,34321.2710286
monetary,AA,CCGT_pp,2019-01-07 17:00:00,41337.9777506
monetary,AA,CCGT_pp,2019-01-07 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-07 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-07 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-07 21:00:00,52851.0766876
monetary,AA,CCGT_pp,2019-01-07 22:00:00,45878.204418
monetary,AA,CCGT_pp,2019-01-07 23:00:00,43329.3669525
monetary,AA,CCGT_pp,2019-01-08 00:00:00,37171.8842682
monetary,AA,CCGT_pp,2019-01-08 01:00:00,35250.9828196
monetary,AA,CCGT_pp,2019-01-08 02:00:00,32233.180421
monetary,AA,CCGT_pp,2019-01-08 03:00:00,32188.1385947
monetary,AA,CCGT_pp,2019-01-08 04:00:00,32951.2001333
monetary,AA,CCGT_pp,2019-01-08 05:00:00,36288.2696087
monetary,AA,CCGT_pp,2019-01-08 06:00:00,28965.2541219
monetary,AA,CCGT_pp,2019-01-08 07:00:00,28706.0378587
monetary,AA,CCGT_pp,2019-01-08 08:00:00,29890.940579
monetary,AA,CCGT_pp,2019-01-08 09:00:00,30863.4159891
monetary,AA,CCGT_pp,2019-01-08 10:00:00,34223.3708864
monetary,AA,CCGT_pp,2019-01-08 11:00:00,38112.5727358
monetary,AA,CCGT_pp,2019-01-08 12:00:00,30911.2303372
monetary,AA,CCGT_pp,2019-01-08 13:00:00,31786.0574388
monetary,AA,CCGT_pp,2019-01-08 14:00:00,35776.4930741
monetary,AA,CCGT_pp,2019-01-08 15:00:00,35990.7026848
monetary,AA,CCGT_pp,2019-01-08 16:00:00,36347.9146611
monetary,AA,CCGT_pp,2019-01-08 17:00:00,44935.8106457
monetary,AA,CCGT_pp,2019-01-08 18:00:00,56224.5770292
monetary,AA,CCGT_pp,2019-01-08 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-08 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-08 21:00:00,28560.9467745
monetary,AA,CCGT_pp,2019-01-08 22:00:00,40967.9829344
monetary,AA,CCGT_pp,2019-01-08 23:00:00,37625.6144298
monetary,AA,CCGT_pp,2019-01-09 00:00:00,32348.4345139
monetary,AA,CCGT_pp,2019-01-09 01:00:00,28473.5126461
monetary,AA,CCGT_pp,2019-01-09 02:00:00,25612.0318745
monetary,AA,CCGT_pp,2019-01-09 03:00:00,24711.1953342
monetary,AA,CCGT_pp,2019-01-09 04:00:00,27069.2674506
monetary,AA,CCGT_pp,2019-01-09 05:00:00,30447.4044674
monetary,AA,CCGT_pp,2019-01-09 06:00:00,18626.0085498
monetary,AA,CCGT_pp,2019-01-09 07:00:00,18629.0568634
monetary,AA,CCGT_pp,2019-01-09 08:00:00,20296.7137126
monetary,AA,CCGT_pp,2019-01-09 09:00:00,22457.808877
monetary,AA,CCGT_pp,2019-01-09 10:00:00,26864.5760299
monetary,AA,CCGT_pp,2019-01-09 11:00:00,26504.8094765
monetary,AA,CCGT_pp,2019-01-09 12:00:00,32758.7013552
monetary,AA,CCGT_pp,2019-01-09 13:00:00,35209.9149057
monetary,AA,CCGT_pp,2019-01-09 14:00:00,39638.342492
monetary,AA,CCGT_pp,2019-01-09 15:00:00,39630.3060258
monetary,AA,CCGT_pp,2019-01-09 16:00:00,36924.2187237
monetary,AA,CCGT_pp,2019-01-09 17:00:00,42489.3775679
monetary,AA,CCGT_pp,2019-01-09 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-09 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-09 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-09 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-09 22:00:00,52709.9897601
monetary,AA,CCGT_pp,2019-01-09 23:00:00,47384.4561131
monetary,AA,CCGT_pp,2019-01-10 00:00:00,47047.9671674
monetary,AA,CCGT_pp,2019-01-10 01:00:00,43920.2097055
monetary,AA,CCGT_pp,2019-01-10 02:00:00,44323.5990523
monetary,AA,CCGT_pp,2019-01-10 03:00:00,39547.1782497
monetary,AA,CCGT_pp,2019-01-10 04:00:00,43135.2896605
monetary,AA,CCGT_pp,2019-01-10 05:00:00,41923.7969968
monetary,AA,CCGT_pp,2019-01-10 06:00:00,35006.3745203
monetary,AA,CCGT_pp,2019-01-10 07:00:00,34282.5056862
monetary,AA,CCGT_pp,2019-01-10 08:00:00,37561.2395354
monetary,AA,CCGT_pp,2019-01-10 09:00:00,36349.2668385
monetary,AA,CCGT_pp,2019-01-10 10:00:00,37966.0993534
monetary,AA,CCGT_pp,2019-01-10 11:00:00,40343.8974115
monetary,AA,CCGT_pp,2019-01-10 12:00:00,41050.059434
monetary,AA,CCGT_pp,2019-01-10 13:00:00,44657.1508154
monetary,AA,CCGT_pp,2019-01-10 14:00:00,45997.0003689
monetary,AA,CCGT_pp,2019-01-10 15:00:00,48893.6211285
monetary,AA,CCGT_pp,2019-01-10 16:00:00,46952.9814571
monetary,AA,CCGT_pp,2019-01-10 17:00:00,44733.9069159
monetary,AA,CCGT_pp,2019-01-10 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-10 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-10 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-10 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-10 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-10 23:00:00,53758.5370374
monetary,AA,CCGT_pp,2019-01-11 00:00:00,48313.7749825
monetary,AA,CCGT_pp,2019-01-11 01:00:00,50380.3999828
monetary,AA,CCGT_pp,2019-01-11 02:00:00,46531.9733312
monetary,AA,CCGT_pp,2019-01-11 03:00:00,43855.9588676
monetary,AA,CCGT_pp,2019-01-11 04:00:00,45015.1235839
monetary,AA,CCGT_pp,2019-01-11 05:00:00,46028.5646688
monetary,AA,CCGT_pp,2019-01-11 06:00:00,35129.348543
monetary,AA,CCGT_pp,2019-01-11 07:00:00,38995.2776973
monetary,AA,CCGT_pp,2019-01-11 08:00:00,39626.817032
monetary,AA,CCGT_pp,2019-01-11 09:00:00,42700.9563921
monetary,AA,CCGT_pp,2019-01-11 10:00:00,43694.0915209
monetary,AA,CCGT_pp,2019-01-11 11:00:00,45451.6262075
monetary,AA,CCGT_pp,2019-01-11 12:00:00,41362.3557943
monetary,AA,CCGT_pp,2019-01-11 13:00:00,47811.8460248
monetary,AA,CCGT_pp,2019-01-11 14:00:00,47180.0674487
monetary,AA,CCGT_pp,2019-01-11 15:00:00,46123.2597933
monetary,AA,CCGT_pp,2019-01-11 16:00:00,46835.1777459
monetary,AA,CCGT_pp,2019-01-11 17:00:00,48628.2524078
monetary,AA,CCGT_pp,2019-01-11 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-11 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-11 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-11 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-11 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-11 23:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 00:00:00,46555.1566369
monetary,AA,CCGT_pp,2019-01-12 01:00:00,46667.0987785
monetary,AA,CCGT_pp,2019-01-12 02:00:00,45221.1236405
monetary,AA,CCGT_pp,2019-01-12 03:00:00,44823.6957818
monetary,AA,CCGT_pp,2019-01-12 04:00:00,46137.8573216
monetary,AA,CCGT_pp,2019-01-12 05:00:00,42062.8967528
monetary,AA,CCGT_pp,2019-01-12 06:00:00,30197.4248154
monetary,AA,CCGT_pp,2019-01-12 07:00:00,29940.000572
monetary,AA,CCGT_pp,2019-01-12 08:00:00,35575.3484573
monetary,AA,CCGT_pp,2019-01-12 09:00:00,33282.9511483
monetary,AA,CCGT_pp,2019-01-12 10:00:00,33664.0489177
monetary,AA,CCGT_pp,2019-01-12 11:00:00,34529.201367
monetary,AA,CCGT_pp,2019-01-12 12:00:00,38481.0019566
monetary,AA,CCGT_pp,2019-01-12 13:00:00,40619.127757
monetary,AA,CCGT_pp,2019-01-12 14:00:00,41107.4825893
monetary,AA,CCGT_pp,2019-01-12 15:00:00,40707.9970243
monetary,AA,CCGT_pp,2019-01-12 16:00:00,40781.3291488
monetary,AA,CCGT_pp,2019-01-12 17:00:00,44732.607845
monetary,AA,CCGT_pp,2019-01-12 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-12 23:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-13 00:00:00,55574.7824521
monetary,AA,CCGT_pp,2019-01-13 01:00:00,52912.0155953
monetary,AA,CCGT_pp,2019-01-13 02:00:00,47083.073307
monetary,AA,CCGT_pp,2019-01-13 03:00:00,45915.2977418
monetary,AA,CCGT_pp,2019-01-13 04:00:00,45723.2075813
monetary,AA,CCGT_pp,2019-01-13 05:00:00,43271.0775255
monetary,AA,CCGT_pp,2019-01-13 06:00:00,35921.3261948
monetary,AA,CCGT_pp,2019-01-13 07:00:00,31612.9866553
monetary,AA,CCGT_pp,2019-01-13 08:00:00,17212.0970441
monetary,AA,CCGT_pp,2019-01-13 09:00:00,17164.7563573
monetary,AA,CCGT_pp,2019-01-13 10:00:00,19140.7125368
monetary,AA,CCGT_pp,2019-01-13 11:00:00,20640.4173123
monetary,AA,CCGT_pp,2019-01-13 12:00:00,30761.8217784
monetary,AA,CCGT_pp,2019-01-13 13:00:00,35753.7054478
monetary,AA,CCGT_pp,2019-01-13 14:00:00,36300.6245715
monetary,AA,CCGT_pp,2019-01-13 15:00:00,36970.8436363
monetary,AA,CCGT_pp,2019-01-13 16:00:00,36313.1748326
monetary,AA,CCGT_pp,2019-01-13 17:00:00,0.0
monetary,AA,CCGT_pp,2019-01-13 18:00:00,23689.1433023
monetary,AA,CCGT_pp,2019-01-13 19:00:00,38093.9169584
monetary,AA,CCGT_pp,2019-01-13 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-13 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-13 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-13 23:00:00,53516.106001
monetary,AA,CCGT_pp,2019-01-14 00:00:00,50723.5127586
monetary,AA,CCGT_pp,2019-01-14 01:00:00,45875.5549234
monetary,AA,CCGT_pp,2019-01-14 02:00:00,42880.2734429
monetary,AA,CCGT_pp,2019-01-14 03:00:00,42353.6814867
monetary,AA,CCGT_pp,2019-01-14 04:00:00,39290.1748859
monetary,AA,CCGT_pp,2019-01-14 05:00:00,42408.6590225
monetary,AA,CCGT_pp,2019-01-14 06:00:00,35851.0058108
monetary,AA,CCGT_pp,2019-01-14 07:00:00,34298.7681224
monetary,AA,CCGT_pp,2019-01-14 08:00:00,36652.4249673
monetary,AA,CCGT_pp,2019-01-14 09:00:00,42170.9187921
monetary,AA,CCGT_pp,2019-01-14 10:00:00,40962.9778427
monetary,AA,CCGT_pp,2019-01-14 11:00:00,45223.2094363
monetary,AA,CCGT_pp,2019-01-14 12:00:00,46767.6615682
monetary,AA,CCGT_pp,2019-01-14 13:00:00,49287.3021953
monetary,AA,CCGT_pp,2019-01-14 14:00:00,50114.9713321
monetary,AA,CCGT_pp,2019-01-14 15:00:00,51658.5091306
monetary,AA,CCGT_pp,2019-01-14 16:00:00,51167.7741017
monetary,AA,CCGT_pp,2019-01-14 17:00:00,49636.4452719
monetary,AA,CCGT_pp,2019-01-14 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-14 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-14 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-14 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-14 22:00:00,57233.0
