,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
805,-17711.16915,-10340.93743,-62562.0939,-64265.38981,-249228.2281,-204638.3924,-93038.05577,-113060.756,-827455.7044,-41799.27313
806,-18260.14073,-10661.46289,-64501.25505,-66257.34595,-256953.2524,-210981.3198,-95921.84326,-116565.1627,-853103.3427,-43094.87438
807,-18846.97241,-11004.09356,-66574.15146,-68386.67839,-265211.0371,-217761.6905,-99004.51264,-120311.2527,-880519.7837,-44479.82743
808,-19305.50039,-11271.81215,-68193.83396,-70050.45785,-271663.3563,-223059.6146,-101413.1934,-123238.3052,-901941.9491,-45561.97713
809,-19455.88916,-11359.61893,-68725.0601,-70596.14699,-273779.5986,-224797.2365,-102203.1965,-124198.3246,-908968.0263,-45916.90238
810,-20087.94264,-11728.65304,-70957.69583,-72889.56776,-282673.7358,-232100.1089,-105523.4192,-128233.0918,-938497.2038,-47408.58121
811,-23805.80531,-13899.38411,-84090.49759,-86379.91905,-334990.7973,-275057.0381,-125053.6214,-151966.3847,-1112193.624,-56182.92895
812,-24369.50026,-14228.50604,-86081.6669,-88425.29931,-342923.0062,-281570.0823,-128014.7518,-155564.7794,-1138529.13,-57513.27812
813,-23983.32715,-14003.03296,-84717.56732,-87024.06119,-337488.8511,-277108.161,-125986.1565,-153099.6104,-1120487.343,-56601.88966
814,-23871.85016,-13937.94541,-84323.7913,-86619.56435,-335920.168,-275820.1336,-125400.5598,-152387.9876,-1115279.202,-56338.79822
815,-23405.96049,-13665.92859,-82678.10473,-84929.07283,-329364.2565,-270437.1511,-122953.2076,-149413.9412,-1093513.102,-55239.27456
816,-22145.00854,-12929.70248,-78223.97786,-80353.6793,-311620.3788,-255867.8599,-116329.3356,-141364.5471,-1034602.148,-52263.36289
817,-21382.54802,-12484.52822,-75530.69848,-77587.07354,-300891.1783,-247058.2385,-112324.0752,-136497.3155,-998980.4276,-50463.91671
818,-21029.18701,-12278.21298,-74282.50279,-76304.89487,-295918.7488,-242975.4346,-110467.8441,-134241.6054,-982471.6029,-49629.96648
819,-20836.73145,-12165.84486,-73602.68193,-75606.56542,-293210.5506,-240751.7647,-109456.8612,-133013.049,-973480.1895,-49175.76145
820,-20348.75672,-11880.93333,-71878.98312,-73835.93773,-286343.8623,-235113.607,-106893.4945,-129898.0207,-950682.2887,-48024.1159
821,-20897.72829,-12201.4588,-73818.14428,-75827.89388,-294068.8867,-241456.5344,-109777.282,-133402.4275,-976329.927,-49319.71714
822,-21324.70619,-12450.75638,-75326.38073,-77377.19311,-300077.2389,-246389.9224,-112020.2278,-136128.0772,-996278.0902,-50327.407
823,-20191.00627,-11788.82831,-71321.75291,-73263.53654,-284124.0277,-233290.9267,-106064.8199,-128891.0073,-943312.2777,-47651.81669
824,-19416.97738,-11336.89969,-68587.60998,-70454.95469,-273232.0394,-224347.642,-101998.7901,-123949.928,-907150.0902,-45825.06857
825,-20114.23438,-11744.00387,-71050.56754,-72984.96796,-283043.7082,-232403.8889,-105661.5317,-128400.9274,-939725.539,-47470.63107
826,-20525.43723,-11984.09095,-72503.08097,-74477.02707,-288830.077,-237155.0089,-107821.61,-131025.8758,-958936.701,-48441.09101
827,-21184.83412,-12369.08993,-74832.30327,-76869.66405,-298108.9856,-244773.8125,-111285.4697,-135235.192,-989743.3471,-49997.3017
828,-21103.85555,-12321.80935,-74546.25843,-76575.83144,-296969.4705,-243838.17,-110860.0834,-134718.2584,-985960.0748,-49806.18811
829,-21650.72379,-12641.10675,-76477.98985,-78560.15557,-304664.8971,-250156.795,-113732.8219,-138209.2383,-1011509.446,-51096.82537
830,-21511.90339,-12560.05433,-75987.62726,-78056.44252,-302711.4426,-248552.8363,-113003.5883,-137323.0665,-1005023.837,-50769.20206
831,-21718.03065,-12680.40489,-76715.74141,-78804.38008,-305612.0265,-250934.4719,-114086.3897,-138638.8974,-1014653.984,-51255.67303
832,-21742.21905,-12694.52766,-76801.18337,-78892.14826,-305952.4011,-251213.9496,-114213.4532,-138793.3061,-1015784.053,-51312.75891
833,-21848.43769,-12756.54504,-77176.38505,-79277.56506,-307447.0898,-252441.221,-114771.4274,-139471.3619,-1020746.527,-51563.44037
834,-21140.66399,-12343.30053,-74676.27881,-76709.39172,-297487.4319,-244263.462,-111053.4408,-134953.2282,-987679.744,-49893.05792
835,-25718.05629,-15015.88114,-90845.24228,-93318.5663,-361899.6321,-297151.5686,-135098.8145,-164173.4016,-1201532.897,-60695.93996
836,-25915.77019,-15131.31943,-91543.63748,-94035.97579,-364681.8248,-299435.9946,-136137.4199,-165435.5251,-1210769.978,-61162.55497
837,-23656.25788,-13812.06855,-83562.24334,-85837.28272,-332886.3941,-273329.1372,-124268.0379,-151011.7359,-1105206.853,-55829.9893
838,-24966.6383,-14577.15424,-88190.96901,-90592.02862,-351325.82,-288469.5348,-131151.5613,-159376.6609,-1166427.078,-58922.55473
839,-24752.09769,-14451.89141,-87433.13591,-89813.563,-348306.845,-285990.6896,-130024.5639,-158007.1226,-1156403.863,-58416.2278
840,-23555.29759,-13753.12134,-83205.616,-85470.94596,-331465.6999,-272162.6218,-123737.6862,-150367.2473,-1100490.046,-55591.71781
841,-21306.8278,-12440.31781,-75263.22798,-77312.32097,-299825.6577,-246183.352,-111926.3114,-136013.949,-995442.8223,-50285.21309
842,-21993.56811,-12841.28166,-77689.03685,-79804.17416,-309489.3376,-254118.0868,-115533.808,-140397.8142,-1027526.937,-51905.95565
843,-21950.44965,-12816.10629,-77536.72726,-79647.71783,-308882.5828,-253619.8876,-115307.3036,-140122.5639,-1025512.467,-51804.19386
844,-21501.38669,-12553.914,-75950.47858,-78018.28244,-302563.4537,-248431.3243,-112948.3433,-137255.9323,-1004532.503,-50744.38211
845,-21877.88444,-12773.73798,-77280.40136,-79384.41329,-307861.4589,-252781.4546,-114926.1133,-139659.3377,-1022122.262,-51632.93623
846,-21938.88128,-12809.35192,-77495.86371,-79605.74175,-308719.7949,-253486.2243,-115246.5341,-140048.7162,-1024972,-51776.89192
847,-19317.06876,-11278.56651,-68234.69751,-70092.43394,-271826.1441,-223193.2778,-101473.9628,-123312.1528,-902482.4166,-45589.27907
848,-17769.01098,-10374.70927,-62766.41164,-64475.27024,-250042.1674,-205306.7085,-93341.90311,-113429.9942,-830158.0417,-41935.78284
849,-19159.31831,-11186.46149,-67677.46729,-69520.03275,-269606.3096,-221370.5975,-100645.2883,-122305.1394,-895112.4056,-45216.97987
850,-19759.8217,-11537.0746,-69798.65698,-71698.97328,-278056.4799,-228308.9339,-103799.7761,-126138.5039,-923167.5809,-46634.19885
851,-20267.77815,-11833.65276,-71592.93828,-73542.10512,-285204.3472,-234177.9644,-106468.1082,-129381.0872,-946899.0164,-47833.0023
852,-20460.23371,-11946.02088,-72272.75914,-74240.43458,-287912.5454,-236401.6344,-107479.0912,-130609.6436,-955890.4298,-48287.20734
853,-20676.87766,-12072.51177,-73038.02198,-75026.53221,-290961.1182,-238904.782,-108617.1376,-131992.6087,-966011.9116,-48798.49825
854,-21126.99229,-12335.31809,-74627.98553,-76659.78361,-297295.0463,-244105.4964,-110981.6224,-134865.9537,-987041.0097,-49860.79199
855,-21258.451,-12412.07227,-75092.34404,-77136.78461,-299144.9084,-245624.3967,-111672.1845,-135705.1316,-993182.6856,-50171.04133
856,-21132.25063,-12338.38826,-74646.55987,-76678.86365,-297369.0407,-244166.2524,-111009.2449,-134899.5208,-987286.6768,-49873.20197
857,-21503.49003,-12555.14207,-75957.90831,-78025.91446,-302593.0515,-248455.6267,-112959.3923,-137269.3591,-1004630.769,-50749.3461
858,-21592.88196,-12607.33491,-76273.6721,-78350.27513,-303850.9577,-249488.4789,-113428.9746,-137840.0001,-1008807.109,-50960.31566
859,-24865.67801,-14518.20702,-87834.34167,-90225.69186,-349905.1259,-287303.0194,-130621.2096,-158732.1723,-1161710.271,-58684.28323
860,-26827.77814,-15663.80924,-94765.17111,-97345.21788,-377515.4284,-309973.5169,-140928.2638,-171257.4055,-1253378.468,-63314.94079
861,-25924.70939,-15136.53871,-91575.21386,-94068.41186,-364807.6154,-299539.2798,-136184.3782,-165492.5892,-1211187.612,-61183.65192
862,-25473.54309,-14873.11836,-89981.53544,-92431.34445,-358458.8885,-294326.4142,-133814.3689,-162612.5308,-1190109.38,-60118.87618
863,-24270.43297,-14170.66409,-85731.72632,-88065.83136,-341528.9501,-280425.4391,-127494.3442,-154932.3749,-1133900.763,-57279.47422
864,-23314.46523,-13612.50768,-82354.9112,-84597.08014,-328076.7525,-269379.9965,-122472.5764,-148829.8735,-1089238.496,-55023.34102
865,-23455.17863,-13694.66535,-82851.96056,-85107.662,-330056.8449,-271005.8273,-123211.7541,-149728.1294,-1095812.546,-55355.43191
866,-23371.88639,-13646.0339,-82557.743,-84805.43417,-328884.7723,-270043.4521,-122774.2139,-149196.4263,-1091921.18,-55158.85793
867,-23231.80399,-13564.24465,-82062.92257,-84297.14192,-326913.5592,-268424.912,-122038.3509,-148302.1984,-1085376.61,-54828.25623
868,-22738.46574,-13276.20155,-80320.27794,-82507.05259,-319971.3965,-262724.7832,-119446.8093,-145152.9317,-1062328.129,-53663.95251
869,-22348.40146,-13048.45655,-78942.43335,-81091.69524,-314482.4855,-258217.9024,-117397.7733,-142662.9231,-1044104.548,-52743.38066
870,-24918.47183,-14549.0315,-88020.82805,-90417.25546,-350648.0305,-287913.0098,-130898.5393,-159069.1861,-1164176.768,-58808.87937
871,-22308.33284,-13025.06187,-78800.89688,-80946.30534,-313918.6475,-257754.9416,-117187.29,-142407.1417,-1042232.566,-52648.81667
872,-21144.1345,-12345.32684,-74688.53788,-76721.98454,-297536.2683,-244303.561,-111071.6717,-134975.3825,-987841.8843,-49901.24851
873,-20911.50517,-12209.50264,-73866.80905,-75877.88359,-294262.7522,-241615.7151,-109849.6529,-133490.3733,-976973.5747,-49352.23127
874,-21262.97318,-12414.71262,-75108.31798,-77153.19344,-299208.5437,-245676.6468,-111695.9398,-135733.9993,-993393.9592,-50181.71391
875,-20309.10877,-11857.78427,-71738.9326,-73692.07423,-285785.9439,-234655.5066,-106685.221,-129644.9247,-948829.9592,-47930.5447
876,-22004.29514,-12847.5448,-77726.92851,-79843.09744,-309640.2863,-254242.0291,-115590.1579,-140466.2911,-1028028.098,-51931.27199
877,-20205.93998,-11797.54759,-71374.50403,-73317.72386,-284334.1721,-233463.4737,-106143.2678,-128986.3379,-944009.972,-47687.06101
878,-20370.00045,-11893.33681,-71954.02346,-73913.02109,-286642.8,-235359.0612,-107005.0894,-130033.6319,-951674.7835,-48074.25219
879,-21235.73493,-12398.80915,-75012.10289,-77054.35884,-298825.2522,-245361.9307,-111552.8554,-135560.1216,-992121.404,-50117.43025
880,-19385.74279,-11318.6629,-68477.27839,-70341.61926,-272792.5121,-223986.7513,-101834.7125,-123750.5393,-905690.8281,-45751.35333
881,-19943.23289,-11644.16203,-70446.52998,-72364.48507,-280637.4075,-230428.1035,-104763.2484,-127309.3248,-931736.447,-47067.05873
882,-22213.05157,-12969.43044,-78464.32983,-80600.57502,-312577.8674,-256654.0427,-116686.7705,-141798.9056,-1037781.079,-52423.94794
883,-25925.97139,-15137.27555,-91579.6717,-94072.99107,-364825.3741,-299553.8613,-136191.0076,-165500.6453,-1211246.572,-61186.63031
884,-26359.5748,-15390.44155,-93111.31183,-95646.33115,-370926.9594,-304563.8018,-138468.7577,-168268.5896,-1231504.275,-62209.95674
885,-27034.8519,-15784.71243,-95496.62864,-98096.58985,-380429.3313,-312366.0886,-142016.0373,-172579.2785,-1263052.836,-63803.64555
886,-26931.89344,-15724.59856,-95132.94305,-97723.00267,-378980.5192,-311176.4859,-141475.189,-171922.0344,-1258242.675,-63560.65827
887,-26328.44538,-15372.26616,-93001.35173,-95533.37731,-370488.912,-304204.1262,-138305.2326,-168069.8723,-1230049.927,-62136.48969
888,-24235.62271,-14150.33958,-85608.76418,-87939.5215,-341039.1066,-280023.2343,-127311.4834,-154710.1606,-1132274.447,-57197.3202
889,-23595.57654,-13776.63882,-83347.89545,-85617.09906,-332032.4977,-272628.0128,-123949.2744,-150624.3714,-1102371.856,-55686.77821
890,-22877.28614,-13357.25397,-80810.64053,-83010.76564,-321924.8509,-264328.7419,-120176.0429,-146039.1035,-1068813.739,-53991.57581
891,-22553.37188,-13168.13167,-79666.46115,-81835.43519,-317366.7906,-260586.1717,-118474.4978,-143971.3693,-1053680.649,-53227.12144
892,-21994.72494,-12841.95709,-77693.12321,-79808.37177,-309505.6164,-254131.4532,-115539.8849,-140405.199,-1027580.984,-51908.68584
893,-22499.94706,-13136.93877,-79477.74585,-81641.58199,-316615.0066,-259968.8906,-118193.8533,-143630.3274,-1051184.672,-53101.0361
894,-23049.75997,-13457.95546,-81419.8789,-83636.59094,-324351.87,-266321.539,-121082.0604,-147140.1049,-1076871.617,-54398.62295
895,-20841.88463,-12168.85362,-73620.88478,-75625.26386,-293283.0652,-240811.3056,-109483.9312,-133045.9447,-973720.9431,-49187.92322
896,-18582.37232,-10849.60274,-65639.49064,-67426.57079,-261487.6345,-214704.4481,-97614.54917,-118622.1555,-868157.8186,-43855.35756
897,-21573.84673,-12596.22091,-76206.43299,-78281.20539,-303583.0977,-249268.5421,-113328.9812,-137718.4871,-1007917.794,-50915.39155
898,-22508.46558,-13141.91244,-79507.83628,-81672.49165,-316734.8776,-260067.3153,-118238.6018,-143684.7061,-1051582.653,-53121.14026
899,-22844.36888,-13338.03472,-80694.36516,-82891.32459,-321461.6454,-263948.4092,-120003.1261,-145828.9734,-1067275.863,-53913.88938
900,-23172.48982,-13529.61316,-81853.40401,-84081.91907,-326078.9014,-267739.5843,-121726.7692,-147923.5614,-1082605.486,-54688.27173
901,-23320.98558,-13616.31469,-82377.94339,-84620.73939,-328168.5056,-269455.334,-122506.8282,-148871.4967,-1089543.123,-55038.72938
902,-22602.69519,-13196.92984,-79840.68846,-82014.40596,-318060.8588,-261156.063,-118733.5967,-144286.2288,-1055985.006,-53343.52699
903,-23146.93425,-13514.69215,-81763.13271,-83989.19007,-325719.2882,-267444.31,-121592.524,-147760.4252,-1081411.544,-54627.95926
904,-23332.34361,-13622.94625,-82418.06396,-84661.95227,-328328.3337,-269586.567,-122566.4928,-148944.0016,-1090073.764,-55065.53493
905,-23266.08842,-13584.26214,-82184.02727,-84421.54377,-327396.0032,-268821.0412,-122218.4495,-148521.056,-1086978.359,-54909.16926
906,-23455.38897,-13694.78816,-82852.70353,-85108.4252,-330059.8047,-271008.2576,-123212.859,-149729.4721,-1095822.372,-55355.92831
907,-26861.32641,-15683.39691,-94883.6754,-97466.94854,-377987.5132,-310361.1403,-141104.4953,-171471.5637,-1254945.824,-63394.11642
908,-27701.29498,-16173.82543,-97850.74056,-100514.7941,-389807.3925,-320066.3053,-145516.9111,-176833.5746,-1294188.676,-65376.48561
909,-27886.07335,-16281.71111,-98503.44289,-101185.2667,-392407.5587,-322201.2715,-146487.5653,-178013.123,-1302821.415,-65812.57208
910,-27425.44202,-16012.76446,-96876.33066,-99513.8552,-385925.6417,-316879.045,-144067.8355,-175072.6438,-1281300.983,-64725.45839
911,-26209.71187,-15302.94178,-92581.94312,-95102.55001,-368818.1165,-302832.2555,-137681.5169,-167311.9268,-1224502.765,-61856.27249
912,-24934.03654,-14558.1192,-88075.8081,-90473.73238,-350867.0542,-288092.8476,-130980.3019,-159168.5448,-1164903.942,-58845.61289
913,-24332.48148,-14206.89206,-85950.90354,-88290.97583,-342402.085,-281142.36,-127820.2895,-155328.4669,-1136799.634,-57425.91191
914,-24062.20237,-14049.08546,-84996.18243,-87310.26179,-338598.7684,-278019.5011,-126400.4938,-153603.1172,-1124172.348,-56788.03927
915,-24087.44245,-14063.82227,-85085.33927,-87401.84598,-338953.9419,-278311.13,-126533.0817,-153764.2393,-1125351.55,-56847.60714
916,-23349.17033,-13632.77078,-82477.50185,-84723.0084,-328565.1161,-269780.9862,-122654.8848,-149051.4164,-1090859.898,-55105.24684
917,-23347.06699,-13631.54272,-82470.07212,-84715.37639,-328535.5183,-269756.6838,-122643.8358,-149037.9896,-1090761.632,-55100.28285
918,-24259.91628,-14164.52375,-85694.57764,-88027.67128,-341380.9611,-280303.9271,-127439.0992,-154865.2407,-1133409.429,-57254.65427
919,-21902.91418,-12788.35197,-77368.81522,-79475.23428,-308213.6726,-253070.6532,-115057.5963,-139819.1172,-1023291.637,-51692.0077
920,-21421.03913,-12507.00184,-75666.66265,-77726.73944,-301432.8179,-247502.9725,-112526.2718,-136743.0268,-1000778.71,-50554.75772
921,-22152.58056,-12934.12352,-78250.72491,-80381.15456,-311726.9308,-255955.3486,-116369.1119,-141412.8838,-1034955.908,-52281.23325
922,-22162.04559,-12939.64982,-78284.15873,-80415.49863,-311860.1209,-256064.7094,-116418.8324,-141473.3046,-1035398.109,-52303.5712
923,-23550.14441,-13750.11258,-83187.41315,-85452.24752,-331393.1853,-272103.0809,-123710.6162,-150334.3515,-1100249.292,-55579.55603
924,-22599.85568,-13195.27194,-79830.65832,-82004.10274,-318020.9018,-261123.2548,-118718.6806,-144268.1026,-1055852.346,-53336.8256
925,-22636.34862,-13216.57891,-79959.56424,-82136.51822,-318534.4235,-261544.9015,-118910.3806,-144501.0583,-1057557.275,-53422.95082
926,-22764.96782,-13291.6752,-80413.89261,-82603.21599,-320344.3287,-263030.9935,-119586.0266,-145322.11,-1063566.291,-53726.49877
927,-23114.64799,-13495.84132,-81649.08626,-83872.03863,-325264.962,-267071.2681,-121422.9219,-147554.3231,-1079903.149,-54551.76202
928,-23468.21934,-13702.27937,-82898.02492,-85154.9805,-330240.3513,-271156.5022,-123280.2578,-149811.3759,-1096421.8,-55386.20865
929,-23253.15289,-13576.70953,-82138.33439,-84374.60688,-327213.9768,-268671.5814,-122150.4982,-148438.4809,-1086374.018,-54878.64073
930,-22079.48952,-12891.44819,-77992.54158,-80115.94201,-310698.4075,-255110.84,-115985.1594,-140946.3009,-1031541.136,-52108.73461
931,-26783.18735,-15637.77422,-94607.6607,-97183.41915,-376887.9552,-309458.306,-140694.0252,-170972.7564,-1251295.212,-63209.70421
932,-27772.17752,-16215.21129,-98101.12268,-100771.993,-390804.8381,-320885.2963,-145889.2622,-177286.0593,-1297500.267,-65543.77205
933,-28207.88427,-16469.60535,-99640.19254,-102352.9651,-396936.0212,-325919.5393,-148178.0614,-180067.4305,-1317856.238,-66572.06246
934,-27955.90421,-16322.48293,-98750.11014,-101438.6496,-393390.2055,-323008.1113,-146854.3919,-178458.8943,-1306083.874,-65977.37653
935,-26168.06575,-15278.62606,-92434.83434,-94951.4361,-368232.0802,-302351.0679,-137462.7468,-167046.0753,-1222557.082,-61757.9855
936,-24925.72835,-14553.26834,-88046.46064,-90443.58591,-350750.1429,-287996.8531,-130936.6584,-159115.5088,-1164515.789,-58826.00513
937,-23948.30655,-13982.58564,-84593.86222,-86896.98813,-336996.0478,-276703.5259,-125802.1908,-152876.0535,-1118851.2,-56519.23924
938,-23377.88091,-13649.5339,-82578.91775,-84827.18542,-328969.126,-270112.714,-122805.7035,-149234.6929,-1092201.24,-55173.0053
939,-23277.02579,-13590.64809,-82222.6619,-84461.23026,-327549.9117,-268947.4137,-122275.9043,-148590.8756,-1087489.347,-54934.98201
940,-22928.29212,-13387.03459,-80990.81163,-83195.84202,-322642.5974,-264918.0752,-120443.981,-146364.7045,-1071196.709,-54111.95256
941,-22537.59683,-13158.92116,-79610.73813,-81778.19507,-317144.8071,-260403.9036,-118391.6303,-143870.6679,-1052943.648,-53189.89152
942,-22330.20757,-13037.83377,-78878.16614,-81025.6783,-314226.4646,-258007.6866,-117302.1995,-142546.7809,-1043254.54,-52700.44216
943,-19849.10845,-11589.20604,-70114.04928,-72022.95236,-279312.9062,-229340.5709,-104268.8059,-126708.4735,-927339.0071,-46844.92021
944,-20322.67531,-11865.7053,-71786.8544,-73741.30074,-285976.8497,-234812.2571,-106756.487,-129731.5278,-949463.7802,-47962.56243
945,-20309.00361,-11857.72287,-71738.56111,-73691.69263,-285784.464,-234654.2915,-106684.6685,-129644.2533,-948825.0459,-47930.2965
946,-20748.91703,-12114.57306,-73292.49044,-75287.92876,-291974.8427,-239737.1393,-108995.5657,-132452.4782,-969377.55,-48968.51489
947,-21220.27539,-12389.78286,-74957.49433,-76998.26352,-298607.7084,-245183.308,-111471.6453,-135461.4343,-991399.1429,-50080.94493
948,-21295.15427,-12433.50204,-75221.99294,-77269.96328,-299661.3899,-246048.4736,-111864.9895,-135939.43,-994897.4415,-50257.66295
949,-21161.27672,-12355.33558,-74749.09023,-76784.18547,-297777.4903,-244501.6256,-111161.721,-135084.8113,-988642.7588,-49941.70502
950,-21484.13931,-12543.84385,-75889.55474,-77955.69991,-302320.7518,-248232.0446,-112857.7416,-137145.8321,-1003726.715,-50703.6774
951,-20145.46897,-11762.24067,-71160.89912,-73098.3034,-283483.2355,-232764.7796,-105825.6092,-128600.3161,-941184.8011,-47544.34632
952,-21434.60567,-12514.92288,-75714.58445,-77775.96594,-301623.7237,-247659.723,-112597.5378,-136829.6299,-1001412.531,-50586.77545
953,-21795.43354,-12725.59775,-76989.1557,-79085.23826,-306701.2253,-251828.8004,-114492.9927,-139133.0053,-1018270.203,-51438.34784
954,-22408.1363,-13083.33365,-79153.43786,-81308.44449,-315323.0629,-258908.0907,-117711.5647,-143044.2456,-1046895.326,-52884.35796
955,-24991.35254,-14591.58402,-88278.26841,-90681.70481,-351673.5941,-288755.0881,-131281.387,-159534.4264,-1167581.713,-58980.8816
956,-26652.99064,-15561.75688,-94147.76003,-96710.99736,-375055.8517,-307953.9872,-140010.0924,-170141.6346,-1245212.496,-62902.43327
957,-27019.60269,-15775.80895,-95442.76305,-98041.25773,-380214.7473,-312189.8962,-141935.9321,-172481.9339,-1262340.402,-63767.65663
958,-27465.51064,-16036.15913,-97017.86713,-99659.2451,-386489.4797,-317342.0058,-144278.3189,-175328.4252,-1283172.966,-64820.02239
959,-26250.09599,-15326.52067,-92724.59406,-95249.08472,-369386.3942,-303298.8617,-137893.6576,-167569.7223,-1226389.488,-61951.58109
960,-25783.47015,-15054.07402,-91076.30707,-93555.92199,-362820.1235,-297907.3734,-135442.4382,-164590.9765,-1204588.995,-60850.32003
961,-24178.62221,-14117.05897,-85407.41833,-87732.69387,-340237.0063,-279364.6392,-127012.0556,-154346.2931,-1129611.416,-57062.79608
962,-23817.58401,-13906.26128,-84132.10411,-86422.65834,-335156.5449,-275193.1315,-125115.4958,-152041.575,-1112743.918,-56210.72729
963,-22315.37903,-13029.1759,-78825.7865,-80971.87259,-314017.8001,-257836.3546,-117224.3041,-142452.1216,-1042561.759,-52665.44603
964,-22234.2953,-12981.83392,-78539.37016,-80677.65838,-312876.8051,-256899.497,-116798.3654,-141934.5167,-1038773.574,-52474.08424
965,-21994.40944,-12841.77288,-77692.00875,-79807.22697,-309501.1767,-254127.8078,-115538.2276,-140403.185,-1027566.244,-51907.94124
966,-22757.0803,-13287.06995,-80386.0311,-82574.59593,-320233.337,-262939.8595,-119544.5929,-145271.7593,-1063197.79,-53707.88381
967,-20105.82102,-11739.0916,-71020.84859,-72954.4399,-282925.3171,-232306.6793,-105617.3357,-128347.22,-939332.4717,-47450.77512
968,-19947.0189,-11646.37255,-70459.90351,-72378.2227,-280690.6836,-230471.8478,-104783.1366,-127333.4932,-931913.3273,-47075.99391
969,-19645.5052,-11470.32916,-69394.85082,-71284.17322,-276447.8397,-226988.0982,-103199.2633,-125408.7548,-917826.7795,-46364.40603
970,-18891.03737,-11029.82156,-66729.80443,-68546.56912,-265831.1109,-218270.8259,-99235.98907,-120592.5452,-882578.4735,-44583.82301
971,-19259.22693,-11244.79467,-68030.37976,-69882.5535,-271012.2048,-222524.9617,-101170.1155,-122942.9145,-899780.0792,-45452.76936
972,-19900.74543,-11619.35508,-70296.44931,-72210.31835,-280039.5321,-229937.1949,-104540.0587,-127038.1025,-929751.4574,-46966.78615
973,-20735.77116,-12106.89764,-73246.05459,-75240.22866,-291789.8565,-239585.2493,-108926.5094,-132368.5604,-968763.3824,-48937.48996
974,-20870.38488,-12185.49393,-73721.55771,-75728.67767,-293684.1153,-241140.6031,-109633.6451,-133227.8785,-975052.4585,-49255.18528
975,-20992.37857,-12256.72181,-74152.48241,-76171.3346,-295400.7874,-242550.1426,-110274.4867,-134006.6356,-980751.9337,-49543.09667
976,-21387.80637,-12487.59839,-75549.27282,-77606.15358,-300965.1728,-247118.9945,-112351.6977,-136530.8826,-999226.0946,-50476.32668
977,-20857.76485,-12178.12553,-73676.97929,-75682.88558,-293506.5286,-240994.7887,-109567.3511,-133147.3174,-974462.8576,-49225.40134
978,-21324.70619,-12450.75638,-75326.38073,-77377.19311,-300077.2389,-246389.9224,-112020.2278,-136128.0772,-996278.0902,-50327.407
979,-25147.31515,-14682.64518,-88829.18335,-91247.61879,-353868.2706,-290557.1113,-132100.6699,-160530.027,-1174868.197,-59348.96142
980,-26228.53676,-15313.93298,-92648.43926,-95170.85656,-369083.0168,-303049.7621,-137780.4054,-167432.0971,-1225382.253,-61900.7002
981,-26778.8755,-15635.25669,-94592.42974,-97167.77351,-376827.2797,-309408.4861,-140671.3747,-170945.2313,-1251093.765,-63199.52803
982,-26043.54806,-15205.9245,-91994.99396,-94499.62076,-366479.8908,-300912.3656,-136808.6463,-166251.206,-1216739.687,-61464.11732
983,-25010.38776,-14602.69803,-88345.50752,-90750.77455,-351941.4541,-288975.0248,-131381.3804,-159655.9393,-1168471.028,-59025.80571
984,-23974.17762,-13997.69086,-84685.24797,-86990.86192,-337360.1007,-277002.4455,-125938.0934,-153041.2037,-1120059.882,-56580.29631
985,-22839.95187,-13335.45578,-80678.76271,-82875.29735,-321399.4901,-263897.3742,-119979.9233,-145800.777,-1067069.503,-53903.465
986,-22378.37404,-13065.9565,-79048.3071,-81200.45147,-314904.2541,-258564.2116,-117555.2215,-142854.2557,-1045504.851,-52814.11751
987,-21717.18931,-12679.91367,-76712.76951,-78801.32727,-305600.1874,-250924.751,-114081.9701,-138633.5267,-1014614.678,-51253.68743
988,-21596.35247,-12609.36122,-76285.93117,-78362.86796,-303899.7941,-249528.5779,-113447.2054,-137862.1544,-1008969.249,-50968.50624
989,-21980.73774,-12833.79045,-77643.71546,-79757.61886,-309308.791,-253969.8422,-115466.4091,-140315.9105,-1026927.509,-51875.67531
990,-22677.67924,-13240.71042,-80105.55856,-82286.48733,-319116.0202,-262022.4437,-119127.4934,-144764.8959,-1059488.218,-53520.49321
991,-20337.18835,-11874.17897,-71838.11958,-73793.96165,-286181.0744,-234979.9437,-106832.725,-129824.1731,-950141.8212,-47996.81396
992,-20698.22656,-12084.97665,-73113.4338,-75103.99717,-291261.5359,-239151.4514,-108729.2849,-132128.8912,-967009.3198,-48848.88274
993,-21116.89626,-12329.42337,-74592.32279,-76623.14994,-297152.9768,-243988.8449,-110928.5872,-134801.5048,-986569.329,-49836.96484
994,-21616.86003,-12621.33487,-76358.3711,-78437.28011,-304188.3726,-249765.5263,-113554.9331,-137993.0661,-1009927.351,-51016.90514
995,-21812.68092,-12735.6679,-77050.07954,-79147.82079,-306943.9272,-252028.0801,-114583.5945,-139243.1055,-1019075.991,-51479.05255
996,-22436.42621,-13099.85115,-79253.36782,-81411.09511,-315721.1532,-259234.958,-117860.1737,-143224.8366,-1048217.015,-52951.12362
997,-22307.80701,-13024.75485,-78799.03945,-80944.39733,-313911.2481,-257748.866,-117184.5277,-142403.785,-1042207.999,-52647.57567
998,-22116.82379,-12913.24638,-78124.4194,-80251.41029,-311223.7683,-255542.2077,-116181.279,-141184.6274,-1033285.372,-52196.84543
999,-23287.01665,-13596.4814,-82257.95315,-84497.48233,-327690.5013,-269062.8501,-122328.387,-148654.6531,-1087956.114,-54958.56096
