,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
45,-25386.57001,-14822.3378,-89674.31585,-92115.76059,-357235.0197,-293321.5098,-133357.493,-162057.3307,-1186046.047,-59913.61522
46,-24646.19455,-14390.05824,-87059.0487,-89429.291,-346816.596,-284767.0636,-129468.247,-157331.0809,-1151456.129,-58166.29094
47,-23857.12679,-13929.34894,-84271.78315,-86566.14024,-335712.9834,-275650.0167,-125323.2169,-152293.9997,-1114591.334,-56304.05029
48,-22693.98012,-13250.22794,-80163.13902,-82345.63545,-319345.4031,-262210.7874,-119213.1231,-144868.9539,-1060249.786,-53558.96413
49,-22110.40861,-12909.50077,-78101.7587,-80228.13264,-311133.495,-255468.0854,-116147.5796,-141143.6755,-1032985.658,-52181.70526
50,-21174.31742,-12362.9496,-74795.15459,-76831.50397,-297960.9966,-244652.3005,-111230.2247,-135168.0577,-989252.013,-49972.48176
51,-20263.88698,-11831.38083,-71579.19327,-73527.98589,-285149.5913,-234133.005,-106447.6676,-129356.2475,-946717.2228,-47823.81892
52,-20236.4384,-11815.35456,-71482.23521,-73428.38809,-284763.3401,-233815.8586,-106303.4782,-129181.0272,-945434.8408,-47759.03886
53,-19993.08203,-11673.26722,-70622.61473,-72545.36385,-281338.8753,-231004.0704,-105025.1096,-127627.5411,-934065.3705,-47184.70528
54,-19714.17923,-11510.42555,-69637.4317,-71533.35854,-277414.2077,-227781.5717,-103560.013,-125847.1413,-921035.191,-46526.48028
55,-18670.08157,-10900.81313,-65949.31064,-67744.82585,-262721.8626,-215717.8584,-98075.29223,-119182.055,-872255.5447,-44062.35592
56,-20596.10943,-12025.354,-72752.7201,-74733.4628,-289824.5629,-237971.5697,-108192.8562,-131477.0178,-962238.466,-48607.88106
57,-21048.22223,-12289.32698,-74349.74191,-76373.96462,-296186.6089,-243195.3714,-110567.8375,-134363.1183,-983360.9176,-49674.89059
58,-20655.63393,-12060.1083,-72962.98164,-74949.44885,-290662.1805,-238659.3277,-108505.5428,-131856.9975,-965019.4168,-48748.36196
59,-21913.22054,-12794.3695,-77405.22093,-79512.63115,-308358.7018,-253189.735,-115111.7364,-139884.9087,-1023773.145,-51716.33125
60,-22802.93309,-13313.84181,-80547.99935,-82740.97388,-320878.5689,-263469.6519,-119785.461,-145564.4645,-1065340.007,-53816.09878
61,-22923.03377,-13383.96443,-80972.23729,-83176.76198,-322568.6029,-264857.3191,-120416.3585,-146331.1374,-1070951.042,-54099.54258
62,-22993.81114,-13425.28888,-81222.24792,-83433.57932,-323564.5687,-265675.095,-120788.1572,-146782.9508,-1074257.72,-54266.58083
63,-23261.56624,-13581.6218,-82168.05334,-84405.13494,-327332.3679,-268768.7911,-122194.6941,-148492.1883,-1086767.086,-54898.49668
64,-23441.19143,-13686.49871,-82802.55281,-85056.9091,-329860.0196,-270844.2164,-123138.2783,-149638.8409,-1095159.071,-55322.42138
65,-23564.23678,-13758.34062,-83237.19238,-85503.38203,-331591.4906,-272265.907,-123784.6444,-150424.3114,-1100907.68,-55612.81476
66,-23486.20289,-13712.77934,-82961.54917,-85220.23424,-330493.4124,-271364.2878,-123374.7267,-149926.1754,-1097261.981,-55428.65076
67,-24924.99218,-14552.83851,-88043.86023,-90440.91471,-350739.7837,-287988.3472,-130932.7912,-159110.8094,-1164481.395,-58824.26774
68,-25924.70939,-15136.53871,-91575.21386,-94068.41186,-364807.6154,-299539.2798,-136184.3782,-165492.5892,-1211187.612,-61183.65192
69,-25999.1676,-15180.01228,-91838.22652,-94338.58522,-365855.3773,-300399.5849,-136575.5126,-165967.8996,-1214666.257,-61359.37715
70,-25187.9096,-14706.34688,-88972.57726,-91394.91669,-354439.508,-291026.1477,-132313.9155,-160789.1651,-1176764.747,-59444.76642
71,-23846.50492,-13923.1472,-84234.26298,-86527.59856,-335563.5146,-275527.2896,-125267.4194,-152226.1941,-1114095.086,-56278.98215
72,-23523.53716,-13734.57753,-83093.42698,-85355.70252,-331018.7732,-271795.6555,-123570.8464,-150164.5019,-1099006.217,-55516.76157
73,-22403.92962,-13080.87751,-79138.57839,-81293.18046,-315263.8673,-258859.4858,-117689.4668,-143017.3919,-1046698.792,-52874.42999
74,-21329.4387,-12453.51953,-75343.09764,-77394.36514,-300143.834,-246444.6028,-112045.0881,-136158.2876,-996499.1906,-50338.57598
75,-21090.49935,-12314.01113,-74499.0796,-76527.36814,-296781.5245,-243683.8497,-110789.9223,-134632.9979,-985336.0805,-49774.66678
76,-21053.16507,-12292.21294,-74367.20179,-76391.89986,-296256.1637,-243252.482,-110593.8027,-134394.6714,-983591.8446,-49686.55596
77,-20946.52577,-12229.94995,-73990.51416,-76004.95665,-294755.5555,-242020.3502,-110033.6187,-133713.9303,-978609.7171,-49434.8817
78,-20814.75156,-12153.01156,-73525.04119,-75526.81085,-292901.2537,-240497.8046,-109341.3992,-132872.7384,-972453.3012,-49123.88776
79,-19379.22244,-11314.85589,-68454.24621,-70317.96001,-272700.759,-223911.4139,-101800.4606,-123708.9161,-905386.2009,-45735.96496
80,-20123.59424,-11749.46877,-71083.62986,-73018.93043,-283175.4184,-232512.0346,-105710.6997,-128460.6769,-940162.8263,-47492.72083
81,-20371.78829,-11894.38067,-71960.33874,-73919.50831,-286667.9582,-235379.7183,-107014.481,-130045.0447,-951758.3103,-48078.47158
82,-20637.54522,-12049.54692,-72899.08591,-74883.81352,-290407.6395,-238450.327,-108410.5214,-131741.5267,-964174.3222,-48705.67165
83,-21515.0584,-12561.89644,-75998.77186,-78067.89055,-302755.8393,-248589.2899,-113020.1618,-137343.2068,-1005171.237,-50776.64805
84,-21558.91303,-12587.50163,-76153.68186,-78227.01808,-303372.9533,-249095.9951,-113250.5333,-137623.1565,-1007220.1,-50880.14723
85,-21033.49885,-12280.73052,-74297.73375,-76320.54051,-295979.4243,-243025.2546,-110490.4946,-134269.1304,-982673.0499,-49640.14266
86,-21620.7512,-12623.6068,-76372.11611,-78451.39934,-304243.1285,-249810.4857,-113575.3738,-138017.9058,-1010109.144,-51026.08852
87,-22176.3483,-12948.00067,-78334.68093,-80467.39634,-312061.3859,-256229.9657,-116493.9656,-141564.6071,-1036066.323,-52337.32633
88,-22196.96102,-12960.03573,-78407.49235,-80542.1901,-312351.4443,-256468.1293,-116602.2457,-141696.1902,-1037029.338,-52385.97342
89,-22138.17269,-12925.71126,-78199.83122,-80328.87525,-311524.1859,-255788.8771,-116293.4263,-141320.9099,-1034282.78,-52247.22992
90,-22634.24528,-13215.35084,-79952.13451,-82128.8862,-318504.8258,-261520.5991,-118899.3316,-144487.6315,-1057459.008,-53417.98683
91,-24584.35637,-14353.95308,-86840.61445,-89204.90973,-345946.4209,-284052.5729,-129143.4066,-156936.3317,-1148567.085,-58020.34965
92,-26228.95743,-15314.17859,-92649.92521,-95172.38296,-369088.9363,-303054.6225,-137782.6152,-167434.7825,-1225401.906,-61901.69299
93,-26114.64093,-15247.43316,-92246.11904,-94757.5829,-367480.2962,-301733.7869,-137182.1023,-166705.0334,-1220061.105,-61631.90017
94,-25853.30101,-15094.84584,-91322.97432,-93809.30492,-363802.7703,-298714.2132,-135809.2648,-165036.7478,-1207851.453,-61015.12448
95,-24904.48462,-14540.86486,-87971.4203,-90366.50255,-350451.2052,-287751.3988,-130825.0635,-158979.8976,-1163523.294,-58775.86884
96,-23533.52802,-13740.41085,-83128.71823,-85391.95459,-331159.3628,-271911.0919,-123623.3291,-150228.2795,-1099472.985,-55540.34052
97,-22885.6995,-13362.16624,-80840.35947,-83041.2937,-322043.2421,-264425.9515,-120220.2389,-146092.8109,-1069206.806,-54011.43177
98,-22140.27603,-12926.93932,-78207.26096,-80336.50727,-311553.7837,-255813.1795,-116304.4753,-141334.3367,-1034381.047,-52252.19391
99,-21129.20079,-12336.60756,-74635.78675,-76667.79723,-297326.1239,-244131.0139,-110993.2238,-134880.0519,-987144.1899,-49866.00418
100,-20928.54222,-12219.44998,-73926.98992,-75939.70291,-294502.4944,-241812.5646,-109939.1498,-133599.1308,-977769.5359,-49392.43959
101,-20445.51033,-11937.42441,-72220.75099,-74187.01047,-287705.3609,-236231.5175,-107401.7482,-130515.6556,-955202.5621,-48252.45941
102,-20749.86354,-12115.12569,-73295.83382,-75291.36316,-291988.1617,-239748.0754,-109000.5377,-132458.5202,-969421.77,-48970.74869
103,-18574.06413,-10844.75188,-65610.14318,-67396.42433,-261370.7233,-214608.4536,-97570.90564,-118569.1195,-867769.6647,-43835.7498
104,-18106.28145,-10571.6298,-63957.76985,-65699.06399,-254788.1738,-209203.599,-95113.60933,-115582.989,-845915.1253,-42731.75855
105,-18333.4421,-10704.26102,-64760.18136,-66523.32171,-257984.7356,-211828.2586,-96306.90071,-117033.0883,-856527.9412,-43267.86941
106,-18516.64296,-10811.22565,-65407.31138,-67188.07029,-260562.7035,-213944.998,-97269.2681,-118202.5666,-865086.9807,-43700.23289
107,-18825.62352,-10991.62868,-66498.73964,-68309.21343,-264910.6195,-217515.0211,-98892.36535,-120174.9703,-879522.3756,-44429.44294
108,-18833.93171,-10996.47954,-66528.08709,-68339.35989,-265027.5308,-217611.0156,-98936.00888,-120228.0063,-879910.5295,-44449.0507
